P_RP_2,P_RP_5,P_RP_10,P_RP_25,P_RP_50,P_RP_100,d
7.7728663622267975,8.486793749216442,9.070107291615704,9.903184524216396,10.58384930959398,11.311297485599113,5
12.777791200007387,13.95141424430055,14.910321589618546,16.279814700085716,17.398757455491708,18.59460728342531,10
19.219843883967663,20.985160857524754,22.427511040566642,24.4874479554329,26.17051701935588,27.969266634355076,20
23.44494721882369,25.5983342868666,27.35775668991148,29.87053007843163,31.923588657238543,34.117757873082866,30
31.125752171741734,33.9846109093687,36.320438120726905,39.65642182010715,42.38208342734272,45.295084962291874,60
44.30304926739943,48.37222513189824,51.696940546129596,56.44523544269641,60.32482427336399,64.47106465357328,180
53.59482659167031,58.51743978500876,62.539455177603934,68.28362055212757,72.97688420022625,77.99272482201879,360
57.77852573442955,63.085406102546145,67.42138654401377,73.61395078987543,78.6735782150396,84.08096349597413,480
61.18262023098315,66.80216212905998,71.39360231046295,77.9510092656347,83.30873100271984,89.03469918693197,600
64.07716921687705,69.96257157076401,74.77123272882174,81.63887052374061,87.25006600814537,93.2469296744127,720
76.14390128430067,83.13761685147846,88.85182403328324,97.01274532090626,103.68061658103201,110.8067833671172,1440
