duration,P_RP_2Years,P_RP_5Years,P_RP_10Years,P_RP_25Years,P_RP_50Years,P_RP_100Years,i_RP_2Years,i_RP_5Years,i_RP_10Years,i_RP_25Years,i_RP_50Years,i_RP_100Years
5,10.2257632008,13.97505072188182,15.934869744988639,18.0247886750175,19.374884984928766,20.58926961663581,122.7091584096,167.70060866258183,191.21843693986366,216.29746410021002,232.49861981914518,247.07123539962973
10,16.2409180248,22.195668793577006,25.30832253615843,28.627605542674857,30.77187615253392,32.70060468524511,97.44550814879999,133.17401276146205,151.84993521695057,171.76563325604914,184.63125691520352,196.20362811147066
20,24.3613770372,33.29350319036551,37.96248380423764,42.94140831401228,46.15781422880089,49.050907027867666,73.0841311116,99.88050957109654,113.88745141271292,128.82422494203684,138.47344268640265,147.152721083603
30,30.075774120000002,41.103090358475946,46.86726395584894,53.01408433828677,56.98495583802578,60.55667534304651,60.151548240000004,82.20618071695189,93.73452791169788,106.02816867657354,113.96991167605157,121.11335068609301
60,40.642938,55.544716700643164,63.334140480876954,71.64065451119833,77.00669707841323,81.83334505817095,40.642938,55.54471670064316,63.334140480876954,71.64065451119833,77.00669707841323,81.83334505817096
360,69.673608,95.21951434395972,108.57281225293191,122.81255059062573,132.01148070585123,140.28573438543592,11.612268,15.86991905732662,18.095468708821986,20.468758431770954,22.001913450975206,23.38095573090599
480,75.47974199999999,103.154473872623,117.62054660734287,133.04692980651117,143.0124374313388,151.97621225088886,9.434967749999998,12.894309234077875,14.70256832591786,16.630866225813897,17.87655467891735,18.997026531361108
600,79.35049799999999,108.44444689173187,123.65236951028353,139.86984928376816,150.34640858166387,159.76986416119087,7.935049799999999,10.844444689173187,12.365236951028354,13.986984928376817,15.034640858166386,15.976986416119086
720,82.25356500000001,112.41192665606356,128.17623668748908,144.98703889171094,155.84688694440774,165.6151030939174,6.854463750000001,9.367660554671962,10.681353057290757,12.082253240975911,12.987240578700645,13.801258591159785
1440,96.7689,132.2493254777218,150.79557257351655,170.57298693142462,183.34927875812673,194.84129775754985,4.0320375,5.510388561571742,6.283148857229857,7.10720778880936,7.639553281588614,8.118387406564578
