Year,Month,Precipitation
2016,1,445.39999999999884
2016,2,157.20000000000002
2016,3,184.00000000000003
2016,4,20.59999999999998
2016,5,142.20000000000016
2016,6,116.6000000000002
2016,7,1.7999999999999998
2016,8,47.60000000000002
2016,9,16.59999999999999
2016,10,151.99999999999997
2016,11,184.99999999999972
2016,12,236.99999999999972
2017,1,225.99999999999994
2017,2,274.3999999999995
2017,3,193.5999999999998
2017,4,119.60000000000016
2017,5,142.60000000000005
2017,6,8.000000000000002
2017,7,0.0
2017,8,18.999999999999986
2017,9,60.0
2017,10,139.80000000000004
2017,11,221.19999999999976
2017,12,72.80000000000004
2018,1,200.9999999999996
2018,2,119.60000000000014
2018,3,213.59999999999977
2018,4,14.6
2018,5,32.99999999999999
2018,8,98.2000000000001
2018,9,0.0
2020,3,96.40000000000008
2020,4,6.400000000000001
2020,5,0.0
