Station,Pacum,Pacum_inmet_aut,Pacum_average
CEMADEN Agua Vermelha,399.8,451,437.56
CEMADEN Agua Vermelha,644.8,644.2,610.82
CEMADEN Agua Vermelha,826.8,651.6,706.54
CEMADEN Agua Vermelha,834.6,661.2,714.86
CEMADEN Agua Vermelha,951.2,812.4,834.26
CEMADEN Agua Vermelha,1048.8,930.6,934.24
CEMADEN Agua Vermelha,1050.6,933.2,936.42
CEMADEN Agua Vermelha,1105.8,989,978.1
CEMADEN Agua Vermelha,1150.2,1010.6,1002.74
CEMADEN Agua Vermelha,1347.2,1166.4,1139.1
CEMADEN Agua Vermelha,1579.4,1357.6,1287.28
CEMADEN Agua Vermelha,1805.8,1609,1474.96
CEMADEN Agua Vermelha,2087.6,1868,1680.04
CEMADEN Agua Vermelha,2418,2001,1818.7
CEMADEN Agua Vermelha,2543.4,2173.6,1920.4
CEMADEN Agua Vermelha,2681.6,2336.6,2033.42
CEMADEN Agua Vermelha,2832.2,2474.6,2166
CEMADEN Agua Vermelha,2841.2,2484.4,2174.52
CEMADEN Agua Vermelha,2841.2,2484.4,2174.52
CEMADEN Agua Vermelha,2861,2506,2193.14
CEMADEN Agua Vermelha,2909.4,2562.2,2239.46
CEMADEN Agua Vermelha,3017,2708.8,2347.68
CEMADEN Agua Vermelha,3172.6,2910.2,2510.44
CEMADEN Agua Vermelha,3484.8,3185,2725
CEMADEN Agua Vermelha,3759.6,3428.6,2932.88
CEMADEN Agua Vermelha,3884,3559,3049.82
CEMADEN Agua Vermelha,4065.8,3775.8,3216.26
CEMADEN Agua Vermelha,4089.6,3788.4,3227.56
CEMADEN Agua Vermelha,4110.2,3822.6,3239.8
CEMADEN Agua Vermelha,4116.8,3823,3241.34
CEMADEN Agua Vermelha,4120,3823.2,3243.26
CEMADEN Agua Vermelha,4202.2,3855.4,3283.94
CEMADEN Agua Vermelha,4275.2,3914.4,3332.32
CEMADEN Agua Vermelha,4577,4184.8,3547.42
CEMADEN Agua Vermelha,4771.6,4345,3666.12
CEMADEN Agua Vermelha,4915.2,4527.4,3767.36
CEMADEN Jardim Sao Paulo,431.6,451,437.56
CEMADEN Jardim Sao Paulo,579.2,644.2,610.82
CEMADEN Jardim Sao Paulo,714.8,651.6,706.54
CEMADEN Jardim Sao Paulo,722,661.2,714.86
CEMADEN Jardim Sao Paulo,809.6,812.4,834.26
CEMADEN Jardim Sao Paulo,889.4,930.6,934.24
CEMADEN Jardim Sao Paulo,891.6,933.2,936.42
CEMADEN Jardim Sao Paulo,931.2,989,978.1
CEMADEN Jardim Sao Paulo,940.8,1010.6,1002.74
CEMADEN Jardim Sao Paulo,988.4,1166.4,1139.1
CEMADEN Jardim Sao Paulo,1024.8,1357.6,1287.28
CEMADEN Jardim Sao Paulo,1078.4,1609,1474.96
CEMADEN Jardim Sao Paulo,1182.2,1868,1680.04
CEMADEN Jardim Sao Paulo,1242.2,2001,1818.7
CEMADEN Jardim Sao Paulo,1398,2173.6,1920.4
CEMADEN Jardim Sao Paulo,1501.6,2336.6,2033.42
CEMADEN Jardim Sao Paulo,1675.2,2474.6,2166
CEMADEN Jardim Sao Paulo,1683,2484.4,2174.52
CEMADEN Jardim Sao Paulo,1683,2484.4,2174.52
CEMADEN Jardim Sao Paulo,1702.2,2506,2193.14
CEMADEN Jardim Sao Paulo,1767,2562.2,2239.46
CEMADEN Jardim Sao Paulo,1907.6,2708.8,2347.68
CEMADEN Jardim Sao Paulo,2199.6,2910.2,2510.44
CEMADEN Jardim Sao Paulo,2384.4,3185,2725
CEMADEN Jardim Sao Paulo,2602.2,3428.6,2932.88
CEMADEN Jardim Sao Paulo,2745.6,3559,3049.82
CEMADEN Jardim Sao Paulo,3025.2,3775.8,3216.26
CEMADEN Jardim Sao Paulo,3025.8,3788.4,3227.56
CEMADEN Jardim Sao Paulo,3027.2,3822.6,3239.8
CEMADEN Jardim Sao Paulo,3027.6,3823,3241.34
CEMADEN Jardim Sao Paulo,3030.2,3823.2,3243.26
CEMADEN Jardim Sao Paulo,3038.2,3855.4,3283.94
CEMADEN Jardim Sao Paulo,3094.6,3914.4,3332.32
CEMADEN Jardim Sao Paulo,3354.4,4184.8,3547.42
CEMADEN Jardim Sao Paulo,3484,4345,3666.12
CEMADEN Jardim Sao Paulo,3585.2,4527.4,3767.36
INMET automatic,451,451,437.56
INMET automatic,644.2,644.2,610.82
INMET automatic,651.6,651.6,706.54
INMET automatic,661.2,661.2,714.86
INMET automatic,812.4,812.4,834.26
INMET automatic,930.6,930.6,934.24
INMET automatic,933.2,933.2,936.42
INMET automatic,989,989,978.1
INMET automatic,1010.6,1010.6,1002.74
INMET automatic,1166.4,1166.4,1139.1
INMET automatic,1357.6,1357.6,1287.28
INMET automatic,1609,1609,1474.96
INMET automatic,1868,1868,1680.04
INMET automatic,2001,2001,1818.7
INMET automatic,2173.6,2173.6,1920.4
INMET automatic,2336.6,2336.6,2033.42
INMET automatic,2474.6,2474.6,2166
INMET automatic,2484.4,2484.4,2174.52
INMET automatic,2484.4,2484.4,2174.52
INMET automatic,2506,2506,2193.14
INMET automatic,2562.2,2562.2,2239.46
INMET automatic,2708.8,2708.8,2347.68
INMET automatic,2910.2,2910.2,2510.44
INMET automatic,3185,3185,2725
INMET automatic,3428.6,3428.6,2932.88
INMET automatic,3559,3559,3049.82
INMET automatic,3775.8,3775.8,3216.26
INMET automatic,3788.4,3788.4,3227.56
INMET automatic,3822.6,3822.6,3239.8
INMET automatic,3823,3823,3241.34
INMET automatic,3823.2,3823.2,3243.26
INMET automatic,3855.4,3855.4,3283.94
INMET automatic,3914.4,3914.4,3332.32
INMET automatic,4184.8,4184.8,3547.42
INMET automatic,4345,4345,3666.12
INMET automatic,4527.4,4527.4,3767.36
INMET conventional,463.4,451,437.56
INMET conventional,654.5,644.2,610.82
INMET conventional,655.7,651.6,706.54
INMET conventional,666.1,661.2,714.86
INMET conventional,801.7,812.4,834.26
INMET conventional,903.8,930.6,934.24
INMET conventional,906.3,933.2,936.42
INMET conventional,931.9,989,978.1
INMET conventional,958.3,1010.6,1002.74
INMET conventional,1088.9,1166.4,1139.1
INMET conventional,1227.2,1357.6,1287.28
INMET conventional,1405.4,1609,1474.96
INMET conventional,1578.4,1868,1680.04
INMET conventional,1719.7,2001,1818.7
INMET conventional,1724,2173.6,1920.4
INMET conventional,1884.3,2336.6,2033.42
INMET conventional,1977.8,2474.6,2166
INMET conventional,1986.2,2484.4,2174.52
INMET conventional,1986.2,2484.4,2174.52
INMET conventional,2000.7,2506,2193.14
INMET conventional,2034.7,2562.2,2239.46
INMET conventional,2160.8,2708.8,2347.68
INMET conventional,2318.8,2910.2,2510.44
INMET conventional,2384.6,3185,2725
INMET conventional,2557,3428.6,2932.88
INMET conventional,2684.9,3559,3049.82
INMET conventional,2813.3,3775.8,3216.26
INMET conventional,2818.8,3788.4,3227.56
INMET conventional,2823.4,3822.6,3239.8
INMET conventional,2823.5,3823,3241.34
INMET conventional,2826.9,3823.2,3243.26
INMET conventional,2907.3,3855.4,3283.94
INMET conventional,2948.6,3914.4,3332.32
INMET conventional,3190.7,4184.8,3547.42
INMET conventional,3292,4345,3666.12
INMET conventional,3330,4527.4,3767.36
MAPLU Escola Sao Bento,442,451,437.56
MAPLU Escola Sao Bento,531.4,644.2,610.82
MAPLU Escola Sao Bento,683.8,651.6,706.54
MAPLU Escola Sao Bento,690.4,661.2,714.86
MAPLU Escola Sao Bento,796.4,812.4,834.26
MAPLU Escola Sao Bento,898.6,930.6,934.24
MAPLU Escola Sao Bento,900.4,933.2,936.42
MAPLU Escola Sao Bento,932.6,989,978.1
MAPLU Escola Sao Bento,953.8,1010.6,1002.74
MAPLU Escola Sao Bento,1104.6,1166.4,1139.1
MAPLU Escola Sao Bento,1247.4,1357.6,1287.28
MAPLU Escola Sao Bento,1476.2,1609,1474.96
MAPLU Escola Sao Bento,1684,1868,1680.04
MAPLU Escola Sao Bento,1712.6,2001,1818.7
MAPLU Escola Sao Bento,1763,2173.6,1920.4
MAPLU Escola Sao Bento,1763,2336.6,2033.42
MAPLU Escola Sao Bento,1870.2,2474.6,2166
MAPLU Escola Sao Bento,1877.8,2484.4,2174.52
MAPLU Escola Sao Bento,1877.8,2484.4,2174.52
MAPLU Escola Sao Bento,1895.8,2506,2193.14
MAPLU Escola Sao Bento,1924,2562.2,2239.46
MAPLU Escola Sao Bento,1944.2,2708.8,2347.68
MAPLU Escola Sao Bento,1951,2910.2,2510.44
MAPLU Escola Sao Bento,2186.2,3185,2725
MAPLU Escola Sao Bento,2317,3428.6,2932.88
MAPLU Escola Sao Bento,2375.6,3559,3049.82
MAPLU Escola Sao Bento,2401.2,3775.8,3216.26
MAPLU Escola Sao Bento,2415.2,3788.4,3227.56
MAPLU Escola Sao Bento,2415.6,3822.6,3239.8
MAPLU Escola Sao Bento,2415.8,3823,3241.34
MAPLU Escola Sao Bento,2416,3823.2,3243.26
MAPLU Escola Sao Bento,2416.6,3855.4,3283.94
MAPLU Escola Sao Bento,2428.8,3914.4,3332.32
MAPLU Escola Sao Bento,2430.2,4184.8,3547.42
MAPLU Escola Sao Bento,2438,4345,3666.12
MAPLU Escola Sao Bento,2479,4527.4,3767.36
