Year,Max_5min,Max_10min,Max_15min,Max_20min,Max_25min,Max_30min
1960,0.0,0.0,0.0,0.0,0.0,0.0
1961,9.613,15.700000000000001,21.677,28.546999999999997,36.464,41.881
1962,11.415999999999999,19.623,27.294999999999998,36.807,38.642,46.859
1963,8.442,15.036,21.517,26.907,32.261,34.056000000000004
1964,13.525,22.426000000000002,29.326,36.381,42.668000000000006,50.18
1965,10.937000000000001,18.545,23.599,24.553,27.815000000000005,31.088
1966,13.515,26.741,28.915,33.505,38.946,46.545
1967,13.460999999999999,25.636999999999997,33.327,43.268,50.002,50.749
1968,16.278,29.445999999999998,39.303999999999995,43.623999999999995,45.699999999999996,45.699999999999996
1969,9.312999999999999,16.649,21.078,24.076,24.101,24.101
1970,14.318,19.435000000000002,25.251,32.206,37.028,40.36
1971,19.276,32.022,40.45,44.89999999999999,44.89999999999999,44.89999999999999
1972,14.357000000000001,26.744,39.445,50.007,59.486999999999995,67.417
1973,8.892999999999997,16.105999999999995,21.930999999999997,27.976,31.873000000000005,34.208000000000006
1974,14.597999999999999,26.407,32.146,36.082,39.515,43.606
1975,18.267,32.524,41.47,49.001,49.199999999999996,49.199999999999996
1976,10.369000000000002,18.744,25.164,33.098,40.046,45.092999999999996
1977,10.411,18.294999999999998,25.895999999999997,32.421,38.877,45.419000000000004
1978,12.130999999999998,24.196999999999996,33.437,43.491,46.592,48.8
1979,8.562000000000001,15.460000000000003,20.509,27.467,33.902,36.642
1980,14.607000000000001,24.968,32.082,34.481,41.846,45.340999999999994
1981,11.248,20.883,29.881999999999998,33.838,35.687000000000005,36.00000000000001
1982,9.852,18.447000000000003,26.090000000000003,33.58,40.593,46.205
1983,14.151,26.083,32.747,41.370000000000005,52.885999999999996,56.72
1984,11.814,21.262999999999998,31.253,40.148,48.888,58.878
1985,0.0,0.0,0.0,0.0,0.0,0.0
1986,12.455,18.843,26.301,33.278,37.185,40.0
1987,14.207,25.411,31.62,42.232,54.682,62.56400000000001
1988,13.749,23.084000000000003,27.833000000000002,30.726,34.052,39.153
1989,13.092,20.125999999999998,26.261000000000003,31.405999999999995,38.741,46.16499999999999
1990,13.138,22.122999999999998,30.250999999999998,36.299,38.214,39.699999999999996
1991,10.084,18.294,24.701999999999998,31.052,37.459999999999994,42.103
1992,16.105999999999998,29.081999999999997,39.914,50.422999999999995,55.351,55.591
1993,13.692,25.397000000000002,28.365000000000002,31.771,40.811,48.34
1994,12.520999999999999,23.287,34.58,42.07,49.454,53.295
1995,26.683000000000003,41.178000000000004,51.388,52.199,52.199,52.199
1996,15.677999999999999,28.84,38.403,41.620999999999995,49.52199999999999,56.76299999999999
1997,15.399000000000001,25.591,33.416000000000004,39.010000000000005,44.117000000000004,47.749
1998,11.979000000000001,20.268,28.814,35.744,43.48,50.011
1999,16.535,27.886,34.661,36.401,36.401,37.351
2000,18.287,35.128,49.493,54.372,58.653,58.799
2001,9.811,17.031,25.478,32.326,38.821000000000005,46.922000000000004
2002,11.312999999999999,21.395,28.385000000000005,32.71300000000001,35.2,35.2
2003,14.097999999999999,24.573999999999998,33.191,42.251,47.888,49.127
2004,21.255,31.657,37.272,38.399,38.399,38.399
2005,11.977,21.68,30.984,38.751,46.044999999999995,49.801
2006,12.446,19.147,22.101999999999997,26.355000000000004,31.587,35.224000000000004
2007,11.918,22.0,27.851,31.18,33.052,33.85399999999999
2008,10.376,20.266,23.717,26.608,32.679,35.31
2009,14.588,24.671999999999997,32.32299999999999,35.938,45.532999999999994,53.98599999999999
2010,21.141,36.028999999999996,48.311,55.064,57.458,58.199999999999996
2011,16.784000000000002,23.441000000000003,30.647,37.969,39.38,43.739
2012,9.047,16.891,22.506999999999998,24.085,29.027000000000005,34.33500000000001
2013,21.023000000000003,24.937000000000005,27.442999999999998,31.595999999999997,35.692,36.96
2014,13.174000000000001,24.396,32.575,34.831,35.693000000000005,35.79900000000001
2015,10.117,16.483,18.996,22.468,24.922,28.405
2016,9.03,16.721,23.513,28.022000000000002,33.427,38.429
2017,11.7,22.419,32.266999999999996,38.891999999999996,44.769999999999996,48.268
2018,12.922,23.596000000000004,34.307,38.359,41.943000000000005,45.699999999999996
2019,15.117,26.246000000000002,29.352000000000004,29.400000000000002,32.967,36.701
2020,13.943,26.627000000000002,38.248000000000005,38.4,39.771,46.428
